key,value,reference value,description
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.transaction.amount,Fakturert beløp,Invoiced amount,
credit_note_adjustment_created.credit_note.total,Kreditnota beløp,Credit note amount,
trial_expired_notification.subscription.cancelled_at,Prøveperioden utløp den,Trial expired on,
payment_one_time_failures.transaction.payment_failure_reason,Feilårsak,Failure reason,
payment_terms_netd_reminders.invoice.due_date,Forfaller på,Due on,
contract_is_terminated.contract_term.billing_cycle,Totale faktureringssykluser,Total Billing Cycles,
credit_note_adjustment_created.credit_note.id,Kreditnota nummer,Credit note number,
coupon_expiry_reminder.subscription.next_renewal_on,Fornyelsesdato,Renewal date,
contract_ends_and_subscription_continues.contract_term.action_at_term_end,Ved semesteravslutning,At Term-End,
subscription_activated_from_trial_state.subscription.next_renewal_on,Neste fornyelse på,Next renewal on,
subscription_reactivation.subscription.next_renewal_on,Neste fornyelse på,Next renewal on,
contract_and_subscription_ends.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
contract_renewal_reminder.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
subscription_expiry_and_cancellations_expired.subscription.cancel_reason,Avbestillingsgrunn,Cancellation reason,
subscription_activated_from_trial_state.subscription.next_estimate_amount,Estimert beløp ved neste fornyelse,Estimated charge on next renewal,
contract_is_terminated.contract_term.termination_fee,Oppsigelsesgebyr,Termination fee,
payment_dunning_profiles_for_one_time_invoices.customer_payment_method.info,Betalingsmetode,Payment method,
chargeback_not_paid_followup.invoice.amount,Fakturert beløp,Invoiced amount,
direct_debit_payment_reminder_for_sepa.transaction.statement_descriptor,Betalinger vil vises på bankutskriften din som,"Payments will appear in your bank statement as ",
subscription_renewal_reminders.subscriptions.scheduled_changes,Sammendrag av planlagte endringer,Summary of scheduled changes,
payment_dunning_profile_for_initial_attempt.customer_payment_method.info,Betalingsmetode,Payment method,
direct_debit_payment_reminder_for_becs_nz.transaction.statement_descriptor,Betalinger vil vises på bankutskriften din som,"Payments will appear in your bank statement as ",
trial_extension_notification.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
payment_method_status_invalidated_notification.customer_payment_method.info,Informasjon om betalingsmetode,Payment method info,
payment_dunning_profiles_for_one_time_invoices.transaction.payment_failure_reason,Feilårsak,Failure reason,
direct_debit_payment_reminder_for_becs.transaction.statement_descriptor,Betalinger vil vises på bankutskriften din som,"Payments will appear in your bank statement as ",
subscription_activated_from_future_state.subscription.next_estimate_amount,Estimert beløp ved neste fornyelse,Estimated charge on next renewal,
payments_and_credits_refunded.transaction.amount,Refusjonsbeløp,Refund amount,
payment_terms_netd_invoice_posted.invoice.due_date,Forfaller på,Due on,
credit_note_refundable_created.credit_note.id,Kreditnota nummer,Credit note number,
direct_debit_payment_reminder_for_gocardless_sepa.transaction.statement_descriptor,Betalinger vil vises på bankutskriften din som,"Payments will appear in your bank statement as ",
contract_and_subscription_ends.contract_term.billing_cycle,Totale faktureringssykluser,Total Billing Cycles,
trial_extension_notification.subscription.next_estimate_amount,Anslått kostnad ved aktivering,Estimated charge on activation,
subscription_reactivation.invoice.amount,Fakturert beløp,Invoiced amount,
gift_order_confirmed.invoice.amount,Fakturert beløp,Invoiced amount,
payments_and_credits_refund_initiated.transaction.description,Refusjonsgrunn,Refund reason,
subscription_activated_from_trial_state.invoice.amount,Fakturert beløp,Invoiced amount,
direct_debit_payment_reminder_for_bluesnap_sepa.transaction.statement_descriptor,Betalinger vil vises på bankutskriften din som,"Payments will appear in your bank statement as ",
gift_cancelled.invoice.amount,Fakturert beløp,Invoiced amount,
subscription_activated_from_trial_state.invoice.status,Fakturastatus,Invoice status,
welcome_mails_in_non_renewal_state.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
contract_renewal_reminder.upcoming_contract_term.upcoming_billing_cycles,Kommende faktureringssykluser,Upcoming Billing Cycles,
payments_and_credits_successful_payment.invoice.number_of_invoices,Antall fakturaer,Number of invoices,
payment_dunning_profile_for_initial_attempt.invoice.due_date,Forfalt siden,Due since,
subscription_reactivation.invoice.status,Fakturastatus,Invoice status,
direct_debit_payment_reminder_for_ach.transaction.statement_descriptor,Betalinger vil vises på bankutskriften din som,"Payments will appear in your bank statement as ",
welcome_mails_in_active_state.customer_payment_method.info,Betalingsmetode,Payment method,
subscription_expiry_and_cancellations_reminder.customer_balance.refundable_credits,Refunderbare kreditter,Refundable credits,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.account_credits,Reklamekreditter,Promotional credits,
payments_and_credits_successful_payment.customer_payment_method.info,Betalingsmetode,Payment method,
payments_and_credits_refund_initiated.customer_payment_method.info,Refundert via,Refunded via,
subscription_activated_from_future_state.customer_payment_method.info,Betalingsmetode,Payment method,
payment_dunning_profile_for_initial_attempt.transaction.date,Tidligere forsøk på belastning,Previous charge attempted on,
payments_and_credits_successful_payment.transaction.date,Betalingsdato,Payment date,
subscription_expiry_and_cancellations_reminder.subscription.cancelled_at,Avbestillingsdato,Cancellation date,
welcome_mails_in_active_state.invoice.amount,Fakturert beløp,Invoiced amount,
subscription_expiry_and_cancellations_expired.customer_invoice_summary.not_paid_due_total_amount,Beløp til betaling,Amount due,
chargeback_not_paid_followup.transaction.payment_method,Betalingsmetode,Payment Method,
subscription_activated_from_trial_state.customer_payment_method.info,Betalingsmetode,Payment method,
future_subscription_reminders.subscription.next_estimate_amount,Anslått kostnad ved aktivering,Estimated charge on activation,
contract_is_terminated.contract_term.total_contract_value_before_tax,Total kontraktsverdi før skatt,Total Contract Value Before Tax,
credit_note_updated.credit_note.reason_code,Kreditnota årsak,Credit note reason,
subscription_reactivation.customer_payment_method.info,Betalingsmetode,Payment method,
subscription_changed_all_other_changes.subscriptions.scheduled_changes,Sammendrag av planlagte endringer,Summary of scheduled changes,
gift_order_confirmed.gift_receiver.email,Mottakerens e-post,Recipient email,
coupon_expiry_reminder.subscriptions.scheduled_changes,Sammendrag av planlagte endringer,Summary of scheduled changes,
contract_is_renewed.contract_term.contract_period,Kontraktsperiode,Contract Period,
welcome_mails_in_active_state.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
credit_note_updated.credit_note.id,Kreditnota nummer,Credit note number,
contract_ends_and_subscription_continues.contract_term.contract_period,Kontraktsperiode,Contract Period,
subscription_reactivation.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
subscription_changed_all_other_changes.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
gift_order_confirmed.gift.scheduled_at,Varsle på,Notify on,
subscription_activated_from_future_state.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
trial_expired_notification.customer_invoice_summary.not_paid_due_total_amount,Anslått kostnad ved aktivering,Estimated charge on activation,
welcome_mails_in_active_state.subscription.next_renewal_on,Neste fornyelse på,Next renewal on,
credit_note_adjustment_created.credit_note.status,Kreditnota status,Credit note status,
contract_is_renewed.contract_term.total_contract_value,Total kontraktsverdi,Total Contract Value,
payments_and_credits_refund_initiated.transaction.date,Refundert på,Refunded on,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.refundable_credits,Refunderbare kreditter,Refundable credits,
subscription_changed_coupon_applied.discount.discounts,Rabatter,Discounts,
order_shipment_reminder.order.shipping_date,Forsendelsesdato,Shipment date,
welcome_mails_in_non_renewal_state.customer_payment_method.info,Betalingsmetode,Payment method,
subscription_renewal_reminders.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
payment_terms_netd_reminders.invoice.amount,Fakturert beløp,Invoiced amount,
payment_one_time_failures.invoice.due_date,Forfalt siden,Due since,
welcome_mails_in_future_state.subscription.start_date,Abonnementet starter på,Subscription starts on,
subscription_expiry_and_cancellations_expired.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
payment_dunning_profile_for_initial_attempt.transaction.payment_failure_reason,Feilårsak,Failure reason,
subscription_activated_from_future_state.subscription.next_renewal_on,Neste fornyelse på,Next renewal on,
subscription_expiry_and_cancellations_reminder.customer_invoice_summary.not_paid_due_invoice_count,Ubetalte fakturaer,Unpaid invoices,
payment_terms_netd_invoice_posted.invoice.amount,Fakturert beløp,Invoiced amount,
contract_is_terminated.contract_term.total_contract_value,Total kontraktsverdi,Total Contract Value,
subscription_reactivation.subscription.next_estimate_amount,Estimert beløp ved neste fornyelse,Estimated charge on next renewal,
payment_dunning_profiles_for_one_time_invoices.transaction.amount,Fakturert beløp,Invoiced amount,
contract_renewal_reminder.upcoming_contract_term.upcoming_contract_period,Kommende kontraktsperiode,Upcoming Contract Period,
subscription_pause_reminder.subscription.pause_date,Pause dato,Pause date,
payment_dunning_profile_for_initial_attempt.transaction.amount,Fakturert beløp,Invoiced amount,
contract_renewal_reminder.subscription.remaining_billing_cycles,Gjenstående faktureringssykluser,Remaining Billing Cycles,
payment_authorization_succeeded.customer_payment_method.info,Betalingsmetode,Payment method,
contract_is_renewed.contract_term.total_contract_value_before_tax,Total kontraktsverdi før skatt,Total Contract Value Before Tax,
credit_note_updated.credit_note.status,Kreditnota status,Credit note status,
subscription_changed_coupon_applied.coupon.coupons,Kuponger,Coupons,
chargeback_not_paid.transaction.payment_method,Betalingsmetode,Payment Method,
welcome_mails_in_active_state.subscription.next_estimate_amount,Estimert beløp ved neste fornyelse,Estimated charge on next renewal,
invoice_receipt.invoice.amount_due,Beløp til betaling,Amount due,
trial_extension_notification.subscription.trial_end,Prøveperioden avsluttes på,Trial ends on,
contract_renewal_reminder.subscriptions.upcoming_subscribed_to,Oppsummering av kommende abonnement,Upcoming Subscription summary,
contract_renewal_reminder.contract_term.total_contract_value,Total kontraktsverdi,Total Contract Value,
subscription_expiry_and_cancellations_cancellation_followups.subscriptions.subscribed_to,Sammendrag av abonnement,Subscription summary,
payments_and_credits_payment_initiated.transaction.amount,Fakturert beløp,Invoiced amount,
subscription_expiry_and_cancellations_reminder.customer_balance.account_credits,Reklamekreditter,Promotional credits,
payment_offline_payments_profile_for_renewal_invoices.invoice.due_date,Forfalt siden,Due since,
contract_renewal_reminder.upcoming_contract_term.upcoming_total_contract_value_before_tax,Kommende total kontraktsverdi før skatt,Upcoming Total Contract Value Before Tax,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.transaction.date,Tidligere forsøk på belastning,Previous charge attempted on,
coupon_expiry_reminder.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
gift_cancelled.gift_receiver.email,Mottakerens e-post,Recipient email,
credit_note_adjustment_created.credit_note.reason_code,Kreditnota årsak,Credit note reason,
subscription_renewal_reminders.subscription.next_renewal_on,Fornyelsesdato,Renewal date,
contract_and_subscription_ends.contract_term.contract_period,Kontraktsperiode,Contract Period,
payment_offline_payments_profile_for_one_time_invoices.invoice.amount_due,Fakturert beløp,Invoiced amount,
subscription_expiry_and_cancellations_expired.customer_invoice_summary.not_paid_due_invoice_count,Ubetalte fakturaer,Unpaid invoices,
subscription_activated_from_future_state.invoice.amount,Fakturert beløp,Invoiced amount,
payment_dunning_profiles_for_auto_recurring_invoices.customer_payment_method.info,Betalingsmetode,Payment method,
payment_offline_payments_profile_for_one_time_invoices.invoice.due_date,Forfalt siden,Due since,
subscription_activated_from_future_state.invoice.status,Fakturastatus,Invoice status,
welcome_mails_in_non_renewal_state.subscription.cancelled_at,Abonnementet utløper den,Subscription expires on,
contract_ends_and_subscription_continues.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
welcome_mails_in_trial_state.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
contract_is_terminated.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
gift_cancelled.customer_payment_method.info,Betalingsmetode,Payment method,
contract_renewal_reminder.contract_term.total_contract_value_before_tax,Total kontraktsverdi før skatt,Total Contract Value Before Tax,
payments_and_credits_successful_recurring_payments.invoice.number_of_invoices,Antall fakturaer,Number of invoices,
subscription_expiry_and_cancellations_reminder.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
payments_and_credits_refunded.customer_payment_method.info,Refundert via,Refunded via,
payment_one_time_failures.transaction.date,Tidligere forsøk på belastning,Previous charge attempted on,
subscription_changed_all_other_changes.customer_balance.refundable_credits,Refunderbare kreditter,Refundable credits,
subscription_expiry_and_cancellations_reminder.customer_invoice_summary.not_paid_due_total_amount,Beløp til betaling,Amount due,
subscription_activated_from_trial_state.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
subscription_expiry_and_cancellations_expired.customer_balance.account_credits,Reklamekreditter,Promotional credits,
contract_and_subscription_ends.contract_term.total_contract_value_before_tax,Total kontraktsverdi før skatt,Total Contract Value Before Tax,
gift_order_confirmed.customer_payment_method.info,Betalingsmetode,Payment method,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.invoice.due_date,Forfalt siden,Due since,
trial_expired_notification.subscriptions.subscribed_to,Sammendrag av abonnement,Subscription summary,
payment_dunning_profiles_for_auto_recurring_invoices.transaction.amount,Fakturert beløp,Invoiced amount,
payments_and_credits_refund_initiated.transaction.amount,Refusjonsbeløp,Refund amount,
subscription_changed_all_other_changes.customer_payment_method.info,Betalingsmetode,Payment method,
subscription_renewal_reminders.subscription.next_estimate_amount,Anslått kostnad ved fornyelse,Estimated charge on renewal,
credit_note_refundable_created.credit_note.reason_code,Kreditnota årsak,Credit note reason,
subscription_renewal_reminders.customer_payment_method.info,Betalingsmetode,Payment method,
coupon_expiry_reminder.coupon.coupon_expiry_line_items,Utløpte kuponglinjeelementer,Coupon expired line items,
contract_renewal_reminder.upcoming_contract_term.upcoming_total_contract_value,Kommende total kontraktsverdi,Upcoming Total Contract Value,
subscription_changed_all_other_changes.invoice.amount,Fakturert beløp,Invoiced amount,
contract_renewal_reminder.contract_term.action_at_term_end,Ved semesteravslutning,At Term-End,
contract_and_subscription_ends.contract_term.action_at_term_end,Ved semesteravslutning,At Term-End,
welcome_mails_in_future_state.subscription.next_estimate_amount,Anslått kostnad ved aktivering,Estimated charge on activation,
contract_ends_and_subscription_continues.contract_term.billing_cycle,Totale faktureringssykluser,Total Billing Cycles,
subscription_expiry_and_cancellations_expired.customer_balance.refundable_credits,Refunderbare kreditter,Refundable credits,
payments_and_credits_successful_recurring_payments.customer_payment_method.info,Betalingsmetode,Payment method,
welcome_mails_in_non_renewal_state.invoice.amount,Fakturert beløp,Invoiced amount,
contract_is_renewed.contract_term.action_at_term_end,Ved semesteravslutning,At Term-End,
payment_method_expiry_invalidated_followups.customer_payment_method.info,Betalingsmetode,Payment method,
contract_ends_and_subscription_continues.contract_term.total_contract_value_before_tax,Total kontraktsverdi før skatt,Total Contract Value Before Tax,
trial_started_for_future_subscriptions.subscription.next_estimate_amount,Anslått kostnad ved aktivering,Estimated charge on activation,
contract_ends_and_subscription_continues.contract_term.total_contract_value,Total kontraktsverdi,Total Contract Value,
welcome_mails_for_customer.customer.id,ID,ID,
payment_dunning_profiles_for_auto_recurring_invoices.transaction.payment_failure_reason,Feilårsak,Failure reason,
credit_note_refundable_created.credit_note.status,Kreditnota status,Credit note status,
payments_and_credits_successful_recurring_payments.transaction.amount,Fakturert beløp,Invoiced amount,
payment_dunning_profiles_for_auto_recurring_invoices.invoice.due_date,Forfalt siden,Due since,
subscription_expiry_and_cancellations_cancellation_followups.customer_invoice_summary.not_paid_due_total_amount,Beløp til betaling,Amount due,
credit_note_refundable_created.credit_note.total,Kreditnota beløp,Credit note amount,
credit_note_updated.credit_note.total,Kreditnota beløp,Credit note amount,
invoice_receipt.invoice.status,Status,Status,
contract_renewal_reminder.contract_term.contract_period,Kontraktsperiode,Contract Period,
trial_expiry_reminders.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
subscription_changed_all_other_changes.customer_balance.account_credits,Reklamekreditter,Promotional credits,
subscription_expiry_and_cancellations_cancellation_followups.customer_invoice_summary.not_paid_due_invoice_count,Ubetalte fakturaer,Unpaid invoices,
chargeback_not_paid_followup.transaction.date,Betalingsdato,Payment date,
payment_method_expiry_invalidated_reminders.customer_payment_method.info,Betalingsmetode,Payment method,
subscription_expiry_and_cancellations_cancellation_followups.subscription.cancelled_at,Avbestillingsdato,Cancellation date,
subscription_expiry_and_cancellations_cancellation_followups.subscription.cancel_reason,Avbestillingsgrunn,Cancellation reason,
payment_authorization_succeeded.transaction.date,Betalingsdato,Payment date,
direct_debit_payment_reminder_for_autogiro.transaction.statement_descriptor,Betalinger vil vises på bankutskriften din som,"Payments will appear in your bank statement as ",
payments_and_credits_refunded.transaction.description,Refusjonsgrunn,Refund reason,
subscription_expiry_and_cancellations_expired.subscription.cancelled_at,Avbestillingsdato,Cancellation date,
subscription_resumed.subscription.status,Abonnementstatus,Subscription Status,
direct_debit_payment_reminder_for_bacs.transaction.statement_descriptor,Betalinger vil vises på bankutskriften din som,"Payments will appear in your bank statement as ",
trial_expiry_reminders.subscription.trial_end,Prøveperioden avsluttes den,Trial ends on,
order_shipment_reminder.order.amount,Bestillingsbeløp,Order amount,
subscription_resumed.subscription.next_renewal_on,Neste faktureringsdato,Next Billing Date,
subscription_expiry_and_cancellations_reminder.customer_balance.unused_payments,Egenandeler,Excess payments,
subscription_expiry_and_cancellations_expired.customer_balance.unused_payments,Egenandeler,Excess payments,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.transaction.payment_failure_reason,Feilårsak,Failure reason,
subscription_changed_all_other_changes.subscription.sub_change_total_amount_due,Totalt beløp som skal betales,Total amount due,
invoice_receipt.invoice.amount,Fakturert beløp,Invoiced amount,
payment_dunning_profiles_for_auto_recurring_invoices.transaction.date,Tidligere forsøk på belastning,Previous charge attempted on,
payment_dunning_profiles_for_one_time_invoices.invoice.due_date,Forfalt siden,Due since,
