key,value,reference value,description
enum.payment_method_base.type.name.dotpay,,Dotpay,Payments made via Dotpay.
enum.public_card_error_code.name.gocardless_flow_completed,,Your Direct Debit mandate is cancelled. Please change the payment method and set it up again.,Your Direct Debit mandate is cancelled. Please change the payment method and set it up again.
enum.line_item_base.type.name.plan_prorated_charge,,Plan Prorated Charge,Plan Prorated Charge
enum.subscription_base.state.name.in_trial,,In Trial,The subscription is in trial.
enum.transaction_base.payment_method.name.custom,,Custom,Custom
enum.payment_method_base.type.name.wechat_pay,,WeChat Pay,Payments made via WeChat Pay.
enum.invoice_base.status.name.paid,,Paid,Indicates a paid invoice.
enum.credit_card_base.card_type.name.rupay,,Rupay,A Rupay card.
enum.public_card_error_code.name.amz_general_err,,Encountered a problem while using your amazon account. Please try again or change the payment method.,Encountered a problem while using your amazon account. Please try again or change the payment method.
enum.pricing_model.name.flat_fee,,Flat Fee,A fixed price that is not quantity-based.
enum.invoice_base.status.name.upcoming,,Upcoming,Current open invoice containing the charges & adjustments for the upcoming term.
enum.transaction_base.payment_method.name.google_pay,,Google Pay,Google Pay
enum.tax_reg_number_base.label.name.pst,,PST Reg #,PST Reg #
enum.line_item_base.type.name.final_credit_correction,,Final Credit Correction,Final Credit Correction
enum.transaction_base.payment_method.name.card,,Card,Card
enum.transaction_base.payment_method.name.cash,,Cash,Cash
enum.bank_account_base.account_holder_type.name.company,,Company,Company Account.
enum.transaction_base.payment_method.name.netbanking_emandates,,netbanking_emandates,netbanking_emandates
enum.credit_card_base.funding_type.name.not_known,,Not known,An unknown card.
enum.payment_method_base.type.name.sepa_instant_transfer,,Sepa Instant Transfer,Payments made via Sepa Instant Transfer <span isMicro='true' featureId='cb-sepa-instant-transfer'></span>
enum.public_card_error_code.name.adyen_prepaid_card_blocking_or_fraud_failures,,"This operation was declined. This may be because you used a prepaid card or the payment method was rejected by the payment processor. Choose a different payment method, and try again.","This operation was declined. This may be because you used a prepaid card or the payment method was rejected by the payment processor. Choose a different payment method, and try again."
enum.credit_card_base.card_type.name.diners_club,,Diners Club,A Diner's Club card.
enum.quote_base.status.name.declined,,Declined,Declined.
enum.tax_reg_number_base.label.name.tax_reg_no,,"Tax Reg # ","Tax Reg # "
enum.item_price_base.period_unit.name.year,,Year,A period of 1 calendar year.
enum.payment_method_base.type.name.generic,,Generic,Payments made via Generic Payment Method.
enum.quote_base.status.name.accepted,,Accepted,Accepted.
enum.transaction_base.payment_method.name.upi,,upi,upi
enum.transaction_base.payment_method.name.play_store,,Play Store,Play Store
enum.bank_account_base.account_type.name.business_checking,,Business Checking,Business Checking Account
enum.plan_base.period_unit.name.day,,Day,Charge based on day(s)
enum.transaction_failure_reason.name.temporary_processing_issue,,Temporary processing issue,Temporary processing issue
enum.invoice_base.status.name.not_paid,,Not Paid,Indicates the payment is not made and all attempts to collect is failed.
enum.transaction_base.payment_method.name.online_banking_poland,,Online Banking Poland,Online Banking Poland <span isMicro='true' featureId='cb-online-banking-poland'></span>
enum.transaction_failure_reason.name.time_out,,Time out,Time out
enum.invoice_customization_base.invoice_title.name.invoice,,INVOICE,INVOICE
enum.payment_method_base.type.name.pay_to,,Pay To,Payments made via PayTo <span isMicro='true' featureId='cb-pay-to'></span>
enum.invoice_base.status.name.to_collect,,Collecting,Collecting
enum.transaction_base.payment_method.name.chargeback,,Chargeback,"Only applicable for a transaction of <code><a href=""transactions#transaction_type"">type</a></code> = <code>refund</code>. This value is set by Chargebee when an automated <a href=""https://www.chargebee.com/docs/chargeback.html#chargeback-process"" rel=""noopener noreferrer"" target=""_blank"">chargeback</a> occurs. You can also set this explicitly when <a href=""transactions#record_an_offline_refund"">recording a refund</a>."
