key,value,reference value,description
hp_v3.pm.agreement.gocardless_becs_nz_terms_condition,,"<section><b>Specific conditions relating to notices and disputes</b><br>I may ask my bank to reverse a direct debit upto 120 calendar days after the debit if:<br><li>I don’t receive a written notice of the amount and date of each direct debit from the initiator, or I receive a written notice but the amount or the date of debiting is different from the amount or the date specified on the notice.</li><li>I may ask my bank to reverse a direct debit up to 9 months after the date the initiator sent the first direct debit under the authority if I am not reasonably satisfied that the authority authorised my bank to debit my account with the amount of the direct debit.</li><li>- The initiator is required to give a written notice of the amount and date of each direct debit, including the first direct debit in a series, of no less than 2 workingdays. The notice is to include: the dates of the debits, and the amount of each direct debit.</li><li>If the initiator proposes to change an amount or date of a direct debit specified in the notice, the initiator is required to give you notice no less than 10 days before the change.</li><li>If the bank dishonours a direct debit but the initiator sends the direct debit a second time within 5 business days of the original direct debit, the initiator is not required to notify you a second time of the amount and date of the direct debit</li></section>","<section><b>Specific conditions relating to notices and disputes</b><br>I may ask my bank to reverse a direct debit upto 120 calendar days after the debit if:<br><li>I don’t receive a written notice of the amount and date of each direct debit from the initiator, or I receive a written notice but the amount or the date of debiting is different from the amount or the date specified on the notice.</li><li>I may ask my bank to reverse a direct debit up to 9 months after the date the initiator sent the first direct debit under the authority if I am not reasonably satisfied that the authority authorised my bank to debit my account with the amount of the direct debit.</li><li>- The initiator is required to give a written notice of the amount and date of each direct debit, including the first direct debit in a series, of no less than 2 workingdays. The notice is to include: the dates of the debits, and the amount of each direct debit.</li><li>If the initiator proposes to change an amount or date of a direct debit specified in the notice, the initiator is required to give you notice no less than 10 days before the change.</li><li>If the bank dishonours a direct debit but the initiator sends the direct debit a second time within 5 business days of the original direct debit, the initiator is not required to notify you a second time of the amount and date of the direct debit</li></section>"
hp_v3.direct_debit.account_type.checking,,Checking,Checking
hp_v3.portal.term.monthly,,monthly,monthly
hp_v3.pm.consent.mollie_sepa,,This payment method will be stored and used for making future recurring payments,This payment method will be stored and used for making future recurring payments
hp_v3.dlocal.country_of_residence_field_label,,Country of Residence,Country of Residence
hp_v3.direct_debit.gocardless.privacy_prefix,,"Payments by GoCardless. Read the ","Payments by GoCardless. Read the "
hp_v3.dlocal.document_field_help_text.mx,,CURP,document_id field help text for Mexico
hp_v3.pm.klarnapaynow_disclaimer,,<li>You will be directed to the Klarna Checkout.</li><li>Do not exit until you get a payment confirmation message.</li>,Klarna Pay Now disclaimer
hp_v3.card.document_number,,Document number,Document number
hp_v3.pm.pay_to,,PayTo,PayTo
hp_v3.dlocal.document_field_help_text.pe,,DNI,document_id field help text for Peru
hp_v3.inapp_checkout.cart.discounts.applied,,discount applied,discount applied
hp_v3.pm.upi,,UPI,UPI
hp_v3.portal.shipping_edit,,Click to edit shipping address,Change shipping details
hp_v3.inapp_checkout.checkout_message,,Secure Checkout,Checkout is secured by chargebee
hp_v3.inapp_checkout.direct_debit.authorized,,Direct Debit Authorized,Direct Debit Authorized
hp_v3.direct_debit.gocardless_ach_sub_header,,ACH Debit,ACH Debit
hp_v3.pm.agreement.gocardless_becs_terms_condition,,"<section> <h3>Direct Debit Service Agreement</h3> <div>The following is your Direct Debit Service Agreement with merchant. The agreement is designed to explain what your obligations are when undertaking a Direct Debit arrangement with the Merchant. It also details what the Merchant’s obligations are to you as the Direct Debit Initiator. </div><div>We recommend you keep this agreement in a safe place for future reference. It forms part of the terms and conditions of your Direct Debit Request (DDR) and should be read in conjunction with your DDR form. </div></section><section> <h3>Definitions</h3> <div><b>Account</b> means the account held at your financial institution from which we are authorised to arrange for funds to be debited </div><div><b>Agreement</b> means this Direct Debit Request Service Agreement between you and the Merchant </div><div><b>Banking</b> day means a day other than a Saturday or a Sunday or a public holiday listed throughout Australia </div><div><b>Debit</b> day means the day that payment by you to the Merchant is due</div><div><b>Debit payment</b> means a particular transaction where a debit is made<br><b>Direct debit request</b> means the Direct Debit Request between the Merchant and you </div><b>Merchant</b> means the organisation you have authorised by signing a direct debit request and as defined above <div><b>You</b> means the customer who signed the Direct Debit Request </div><div><b>Your financial institution</b> means the financial institution nominated by you on the DDR at which the account is maintained. </div><div><b> 1. Debiting your account</b></div><div>By signing a Direct Debit Request, you have authorised the Merchant to arrange for funds to be debited from your account. You should refer to the Direct Debit Request and this agreement for the terms of the arrangement between the Merchant and you.The Merchant will only arrange for funds to be debited from your account as authorised in the Direct Debit Request. </div><div>If the debit day falls on a day that is not a banking day, the Merchant may direct your financial institution to debit your account on the following banking day. </div><div>If you are unsure about which day your account has or will be debited you should ask your financial institution. </div><div> <b>2. Amendments by the merchant</b> </div><div> The merchant may vary any details of this agreement or a Direct Debit Request at any time by giving you at least fourteen (14) days’ written notice. </div><div> <b>3. Amendments by you</b> </div><div> You may change, stop or defer a debit payment, or terminate this agreement by providing the Merchant with at least fourteen (14) days’ notification by contacting the Merchant during business hours or arranging it through your own financial institution. </div><div> <b>4. Your obligations</b> </div><div> It is your responsibility to ensure that there are sufficient clear funds available in your account to allow a debit payment to be made in accordance with the Direct Debit Request. If there are insufficient clear funds in your account to meet a debit payment: </div><div> a) You may be charged a fee and/or interest by your financial institution; and </div><div> b) You must arrange for the debit payment to be made by another method or arrange for sufficient clear funds to be in your account by an agreed time so that the Merchant can process the debit payment. </div><div> You should check your account statement to verify that the amounts debited from your account are correct. </div><div> <b>5. Dispute</b> </div><div> If you believe that there has been an error in debiting your account, you should notify the Merchant directly. Alternatively, you can take it up with your financial institution directly. </div><div> If the Merchant concludes as a result of investigations that your account has been incorrectly debited the Merchant will respond to your query by arranging for your financial institution to adjust your account (including interest and charges) accordingly. The Merchant will also notify you in writing of the amount by which your account has been adjusted. </div><div> If the Merchant has concluded that as a result of investigations that your account has not been incorrectly debited, the Merchant will respond to your query by providing you with reasons and any evidence for this finding in writing. </div><div> <b>6. Accounts</b> </div><div> You should check: </div><div> a) With your financial institution whether direct debiting is available from your account as direct debiting is not available on all accounts offered by financial institutions. </div><div> b) Your account details which you have provided to us are correct by checking them against a recent account statement; and </div><div> c) With your financial institution before completing the Direct Debit Request if you have any queries about how to complete the Direct Debit Request. </div><div> <b>7. Confidentiality</b> </div><div> The Merchant will keep any information (including your account details) in your Direct Debit Request confidential. The Merchant will make reasonable efforts to keep any such information held secure and to ensure that any of the Merchants employees or agents who have access to information about you do not make any unauthorised use, modification, reproduction or disclosure of that information. </div><div> The Merchant will only disclose information held about you: </div><div> a) To the extent specifically required by law; or. </div><div> b) For the purposes of this agreement (including disclosing information in connection with any query or claim to your Financial Institution). </div><div> <b>8. Notice</b> </div><div> The Merchant will notify you by sending a notice to the email address given in the Direct Debit Request. Should you need to contact the Merchant, please call or email the Merchant directly. Notice will be deemed to have been received at the time of transmission of the notification email. </div></section>",GoCardless Becs Terms and conditions
hp_v3.inapp_checkout.ach.authorized,,ACH Authorized,ACH Authorized
hp_v3.portal.expiring,,Expiring,card about to expire
hp_v3.pm.giropay_disclaimer,,<li>You will be directed to the bank page to authenticate the payment via giropay.</li><li>Your recurring payments will be made via SEPA Direct Debit.</li>,Giropay disclaimer
hp_v3.inapp_checkout.switch_payment_method,,Switch payment method? You may lose the payment method configuration in progress.,Switch payment method? You may lose the payment method configuration in progress.
hp_v3.portal.term.weeks,,weeks,weeks
hp_v3.direct_debit.account_number,,Account Number,Account Number
hp_v3.portal.term.daily,,daily,daily
hp_v3.portal.direct_debit_plaid,,Please login and pay securely via Plaid,Please login and pay securely via Plaid
hp_v3.portal.invoice.view_usage,,View usage,View usage link in invoice
hp_v3.dlocal.document_field_help_text.br,,CPF/CNPJ,document_id field help text for Brazil
hp_v3.inapp_checkout.term.weeks,,weeks,weeks
hp_v3.dlocal.document_field_help_text.ar,,DNI/CUIT,document_id field help text for Argentina
hp_v3.portal.unpaid_invoice.alert_tooltip,,You have unpaid invoices,You have unpaid invoices
hp_v3.dlocal.document_field_help_text.ec,,CI,document_id field help text for Ecuador
hp_v3.portal.url_error,,Invalid Url,Requested Url is not valid
hp_v3.bank_list.empty.info,,"If your bank is not listed, choose a different payment method.","If your bank is not listed, choose a different payment method."
hp_v3.dlocal.document_field_help_text.co,,CC,document_id field help text for Colombia
hp_v3.dlocal.document_field_help_text.cl,,CI/RUT,document_id field help text for Chile
hp_v3.paynow.select_field_default,,Pick an option,select fields default prompt
hp_v3.pm.giropay_desc,,recurring via SEPA Direct Debit,Giropay desc
hp_v3.direct_debit.company,,Company,Company
hp_v3.direct_debit.gocardless_ach.info,,"This service is provided by Community Federal Savings Bank ('CFSB'), member FDIC, for which GoCardless Ltd acts as a third-party servicer. GoCardless and CFSB use personal data as described in these <a href='https://gocardless.com/gc/cfsb-gocardless-privacy' target='_blank'>privacy notices</a>. By submitting this form, you agree to the <a href='https://gocardless.com/legal/customers/' target='_blank'>GoCardless Website Terms of Use</a>. GoCardless uses analytics <a href='https://gocardless.com/privacy/cookies' target='_blank'>cookies</a>.","This service is provided by Community Federal Savings Bank ('CFSB'), member FDIC, for which GoCardless Ltd acts as a third-party servicer. GoCardless and CFSB use personal data as described in these <a href='https://gocardless.com/gc/cfsb-gocardless-privacy' target='_blank'>privacy notices</a>. By submitting this form, you agree to the <a href='https://gocardless.com/legal/customers/' target='_blank'>GoCardless Website Terms of Use</a>. GoCardless uses analytics <a href='https://gocardless.com/privacy/cookies' target='_blank'>cookies</a>."
hp_v3.direct_debit.account_holder_type,,Account Holder Type,Account Holder Type
hp_v3.inapp_checkout.term.years,,years,years
hp_v3.pm.dotpay_disclaimer,,<li>You will be directed to the bank page to authenticate the payment via dotpay.</li><li>This is a one time payment option and cannot be saved for recurring payments</li>,Dotpay disclaimer
hp_v3.pm.agreement.gocardless_autogiro10,,"<b>The right for the payee and the payer's payment service provider to end the connection to Autogiro</b><br/> The payee has the right to end the payer's connection to Autogiro 30 days after the payee has notified the payer thereof. However, the payee has the right to immediately end the payer's connection to Autogiro if the payer on repeated occasions does not have a sufficient account balance on the due date, if the account to which the mandate pertains is closed or if the payee deems that the payer should not participate in Autogiro for another reason.","<b>The right for the payee and the payer's payment service provider to end the connection to Autogiro</b><br/> The payee has the right to end the payer's connection to Autogiro 30 days after the payee has notified the payer thereof. However, the payee has the right to immediately end the payer's connection to Autogiro if the payer on repeated occasions does not have a sufficient account balance on the due date, if the account to which the mandate pertains is closed or if the payee deems that the payer should not participate in Autogiro for another reason."
hp_v3.pm.agreement.gocardless_autogiro11,,The payer's payment service provider has the right to end the payer's connection to Autogiro in accordance with the terms that apply between the payer's payment service provider and the payer,The payer's payment service provider has the right to end the payer's connection to Autogiro in accordance with the terms that apply between the payer's payment service provider and the payer
hp_v3.portal.token_error,,Token has expired. Please retry,Token has expired.
hp_v3.pm.consent.adyen_sepa,,This payment method will be stored and used for making future recurring payments,This payment method will be stored and used for making future recurring payments
hp_v3.paynow.due_since,,Due since,Due since 21st March 2017
hp_v3.paynow.credit_card,,Credit card,A credit card
hp_v3.portal.gst_registered,,Registered for GST,Shows that this customer has already registered for GST
hp_v3.direct_debit.merchant_name,,Merchant Name,Merchant Name
hp_v3.portal.ending,,ending,Ending 1111
hp_v3.portal.switch_payment_method,,Switch payment method? You may lose the payment method configuration in progress.,Switch payment method? You may lose the payment method configuration in progress.
hp_v3.inapp_checkout.gocardless_redirect,,Please pay securely via GoCardless in the new window we opened.,Please pay securely via GoCardless in the new window we opened.
hp_v3.direct_debit.name_on_account,,Name on Account,Name on Account
hp_v3.payment_loader.timer.text,,The authorization request expires in,The authorization request expires in
hp_v3.portal.unpaid_invoice.paynow_link,,Pay Now,Pay Now
hp_v3.direct_debit.transit_number,,Transit Number,Transit Number
hp_v3.inapp_checkout.discount_applied,,Discount has been applied successfully,Discount has been applied successfully
hp_v3.inapp_checkout.paid_via,,Paid via,Paid via card
hp_v3.pm.agreement.gocardless_becs_3_a,,"This debit or charge will be made through the Bulk Electronic Clearing System (BECS) from your account held at the financial institution you have nominated below and will be subject to the terms and conditions of the ","This debit or charge will be made through the Bulk Electronic Clearing System (BECS) from your account held at the financial institution you have nominated below and will be subject to the terms and conditions of the "
hp_v3.pm.agreement.gocardless_becs_3_b,,Direct Debit Request Service Agreement.,Direct Debit Request Service Agreement.
hp_v3.portal.cart.item_text.total,,items in total,items in total
hp_v3.paynow.paypal_redirect,,Please login and pay securely via your PayPal account in the new window we opened.,Redirecting to PayPal... - info
hp_v3.portal.registered_gst_txt,,I have registered for GST,I have registered for GST
hp_v3.optional_field.txt,,Optional," this field is an optional field"
hp_v3.portal.vat,,Please Enter your VAT Number,Enter VAT Number
hp_v3.portal.direct_debit.authorized,,Direct Debit Authorized,Direct Debit Authorized
hp_v3.portal.subscription_status.canceled,,CANCELLED,The subscription is in cancelled state
hp_v3.inapp_checkout.gst_registered,,Registered for GST,Shows that this customer has already registered for GST
hp_v3.pm.agreement.braintree_ach,,"By clicking the button below, I authorize Braintree, a service of PayPal, on behalf of %{merchant_name} (i) to verify my bank account information using bank information and consumer reports and (ii) to debit my bank account.","By clicking the button below, I authorize Braintree, a service of PayPal, on behalf of %{merchant_name} (i) to verify my bank account information using bank information and consumer reports and (ii) to debit my bank account."
hp_v3.paynow.pm.direct_debit,,Direct Debit,Direct Debit
hp_v3.inapp_checkout.card_expired,,has expired,card has expired
hp_v3.inapp_checkout.edit,,Edit,Edit previously entered data
hp_v3.portal.error,,There were errors while submitting the form,There were errors while submitting
hp_v3.metered_billing_desc,,Charged based on usage,Metered item general desc
hp_v3.edit,,Edit,Edit previously entered data
hp_v3.boleto.tax_id_ending_with,,Tax ID ending with,Tax ID ending with
hp_v3.pm.sofort_disclaimer,,<li>You will be directed to the bank page to authenticate the payment via Sofort Banking.</li><li>Do not exit until you get a payment confirmation message.</li><li>Your recurring payments will be made via SEPA Direct Debit.</li>,Sofort disclaimer
hp_v3.paynow.use_card_future_payments,,Save this to your list of payment methods,Use this card for future payments
hp_v3.portal.billing_interval,,Billed every,Billed every
hp.payment_confirmation_page.page_title,,Payment Verification,Payment Verification
hp_v3.dlocal.document_field_help_text.uy,,CI,document_id field help text for Uruguay
hp_v3.portal.page_not_found,,Page not found,Page not found
hp_v3.portal.subscription_cancel.info,,Please choose a date and time,Cancel subscription info
hp_v3.portal.email_address,,Email address,Email address
hp_v3.netbanking.account_holder_type,,Type of account,Type of account
hp_v3.direct_debit.gocardless_bacs.protected_suffix,,Direct Debit Guarantee,Direct Debit Guarantee
hp_v3.paynow.replace_primary_source.info,,This will replace your existing payment method.,Info while replacing this as primary payment source
hp_v3.inapp_checkout.term.months,,months,months
hp_v3.inapp_checkout.direct_debit_plaid,,Please login and pay securely via Plaid,Please login and pay securely via Plaid
hp_v3.direct_debit.gocardless_becs_title,,Direct Debit Request,Direct Debit Request
hp_v3.boleto.tax_id,,CPF/CNPJ,CPF/CNPJ
hp_v3.portal.enter_account_details,,Please enter one time password/Password to proceed,Please enter OTP/Password to proceed
hp_v3.direct_debit.bsb_number,,BSB Number,BSB Number for BECS
hp_v3.direct_debit.creditor_name,,Creditor Name,Creditor Name
hp_v3.pm.agreement.stripe_sepa,,"By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
hp_v3.pm.sepa_instant_transfer,,SEPA Instant Transfer,SEPA Instant Transfer
hp_v3.inapp_checkout.registered_gst_txt,,I have registered for GST,I have registered for GST
hp_v3.direct_debit.gocardless_becs_nz_title,,Direct Debit Instruction,Direct Debit Instruction
hp_v3.pm.bancontact_desc,,recurring via SEPA Direct Debit,Bancontact desc
hp_v3.pm.agreement.adyen_bacs,,"I understand that %{merchant_name} has partnered with Adyen, who collects Direct Debits on behalf of %{merchant_name} and confirm that I am the account holder and the only person required to authorize debits from this account.",
hp_v3.card.document_type,,Document,Document
hp_v3.portal.vat_error,,EMPTY,field empty
hp_v3.direct_debit.account_type.savings,,Saving,Saving
hp_v3.direct_debit.country,,Country,Country
hp_v3.pm.sofort_desc,,recurring via SEPA Direct Debit,Sofort desc
hp_v3.pm.agreement.gocardless_bacs4,,"If you receive a refund you are not entitled to, you must pay it back when %{merchant_name} asks you to.","If you receive a refund you are not entitled to, you must pay it back when %{merchant_name} asks you to."
hp_v3.pm.agreement.gocardless_bacs5,,You can cancel a Direct Debit at any time by simply contacting your bank or building society. Written confirmation may be required. Please also notify %{merchant_name}.,You can cancel a Direct Debit at any time by simply contacting your bank or building society. Written confirmation may be required. Please also notify %{merchant_name}.
hp_v3.pm.agreement.gocardless_bacs2,,"If there are any changes to the amount, date or frequency of your Direct Debit %{merchant_name} will notify you (normally 3 working days) in advance of your account being debited or as otherwise agreed. If you request %{merchant_name} to collect a payment, confirmation of the amount and date will be given to you at the time of the request.","If there are any changes to the amount, date or frequency of your Direct Debit %{merchant_name} will notify you (normally 3 working days) in advance of your account being debited or as otherwise agreed. If you request %{merchant_name} to collect a payment, confirmation of the amount and date will be given to you at the time of the request."
hp_v3.pm.agreement.gocardless_bacs3,,"If an error is made in the payment of your Direct Debit, by %{merchant_name} or your bank or building society, you are entitled to a full and immediate refund of the amount paid from your bank or building society.","If an error is made in the payment of your Direct Debit, by %{merchant_name} or your bank or building society, you are entitled to a full and immediate refund of the amount paid from your bank or building society."
hp_v3.pm.agreement.gocardless_bacs1,,The Guarantee is offered by all banks and building societies that accept instructions to pay Direct Debits.,The Guarantee is offered by all banks and building societies that accept instructions to pay Direct Debits.
hp_v3.pm.agreement.gocardless_payment_descriptor,,%{payment_descriptor} will appear on your bank statement.,%{payment_descriptor} will appear on your bank statement.
hp_v3.paynow.pm.ach,,ACH,ACH
hp_v3.direct_debit.last_name,,Last Name,Last Name
hp_v3.direct_debit.stripe.verification_amount.description,,"You need to verify this payment method. 2 micro-deposits have been issued to your bank account. This may take 1-2 days to appear on your bank statement. The statement description for these deposits will be <b>AMNTS:</b> You need to confirm these amounts here, to authenticate this payment method.","You need to verify this payment method. 2 micro-deposits have been issued to your bank account. This may take 1-2 days to appear on your bank statement. The statement description for these deposits will be <b>AMNTS:</b> You need to confirm these amounts here, to authenticate this payment method."
hp_v3.direct_debit.date_of_authorization,,Date of Authorization,Date of Authorization
hp_v3.direct_debit.stripe.verification_amount_1,,Verification Amount 1,Verification Amount 1
hp_v3.direct_debit.stripe.verification_amount_2,,Verification Amount 2,Verification Amount 2
hp_v3.inapp_checkout.coupon_error,,Invalid Coupon Code,Invalid Coupon Code
hp_v3.inapp_checkout.term.week,,week,week
hp_v3.inapp_checkout.error,,There were errors while submitting the form,There were errors while submitting the form
hp_v3.upi_loader.header,,Payment In Progress,Payment In Progress
hp_v3.upi_loader.disclaimer,,Do not refresh this page or go back until the transaction is complete.,Do not refresh this page or go back until the transaction is complete.
hp_v3.pm.agreement.gocardless_sepa,,"By signing this mandate form, you authorise (A) %{merchant_name} to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %{merchant_name}. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By signing this mandate form, you authorise (A) %{merchant_name} to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %{merchant_name}. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
hp_v3.direct_debit.branch_code,,Branch Code,Branch Code
hp_v3.einvoice.required_field_error,,Enter value for mandatory fields,field value required
hp_v3.payment_loader.disclaimer,,Do not refresh this page or go back until the transaction is complete.,Do not refresh this page or go back until the transaction is complete.
hp_v3.pm.amazon_payments,,Amazon Pay,Amazon Pay
hp_v3.portal.more_subscriptions_in_plural_txt,,more subscriptions,2 or more subscriptions
hp_v3.portal.invalid_email,,Invalid email,Invalid email
hp_v3.direct_debit.account_type.business_checking,,Business Checking,Business Checking
hp_v3.portal.credit_card,,Credit card,A credit card
hp_v3.paynow.invoice_number,,Invoice #%{invoice_no},Invoivce #123
hp_v3.pm.giropay,,giropay,Giropay name
hp_v3.portal.card_expiring,,is expiring,card about to expire
hp_v3.direct_debit.upi_id.hint,,"Amazon Pay, PhonePe, Google Pay, PayTM & more","Amazon Pay, PhonePe, Google Pay, PayTM & more"
hp_v3.direct_debit.gocardless_pad_sub_header,,Pre-Authorized Debit,Pre-Authorized Debit
hp_v3.portal.expired,,Expired,card has expired
hp_v3.inapp_checkout.pm.ach,,ACH,ACH
hp_v3.portal.term.week,,week,week
hp_v3.portal.billing_edit,,Click to edit billing address,Change billing details
hp_v3.direct_debit.pad,,PAD,PAD
hp_v3.direct_debit.bank_code,,Bank Code,Bank Code
