key,value,reference value,description
inapp_checkout.cart.recommended_addon_title,Recommended addons,Recommended addons,Recommended addons
inapp_checkout.payment_method.card.display_name,Card,Card,Card
inapp_checkout.payment_method.paypal.display_name,PayPal,PayPal,PayPal
inapp_checkout.thankyou.header,,,
inapp_checkout.thankyou.body,,,
inapp_checkout.thankyou.close,CLOSE,CLOSE,CLOSE
inapp_checkout.otp.enter,Enter your six-digit one time password,Enter your six-digit one time password,Enter your six-digit one time password
inapp_checkout.password.enter,Enter your password,Enter your password,Enter your password
inapp_checkout.otp.resend,Resend the one time password,Resend the one time password,Resend the one time password
inapp_checkout.login.via_otp,Login via one time password,Login via one time password,Login via one time password
inapp_checkout.otp.enter_password,Enter password instead,Enter password instead,Enter password instead
inapp_checkout.otp_resend.notify,New one time password send to your email address,New one time password send to your email address,New one time password send to your email address
inapp_checkout.checkuser.error.multiple_subscriptions_not_allowed,You already have a subscription with us,You already have a subscription with us,You already have a subscription with us
inapp_checkout.otp.guest,Proceed as guest,Proceed as guest,Proceed as guest
inapp_checkout.checkuser.email,Enter email to proceed,Enter email to proceed,Enter email to proceed
inapp_checkout.checkuser.next,Next,Next,Next
inapp_checkout.modal_button.confirm,Confirm,Confirm,Confirm
inapp_checkout.modal_button.cancel,Cancel,Cancel,Cancel
inapp_checkout.po_number.label,PO Number,PO Number,PO Number
inapp_checkout.items_in_total.custom_label,,,
inapp_checkout.discounts_applied.label,,,
inapp_checkout.payment_method.bacs.guarantee.header,Back to Payment,Back to Payment,Back to Payment
inapp_checkout.payment_method.bank_account.btn.proceed_to_review,Proceed to Review,Proceed to Review,Proceed to Review
inapp_checkout.payment_method.bank_account.btn.enter_iban,Enter IBAN,Enter IBAN,Enter IBAN
inapp_checkout.payment_method.bank_account.btn.enter_local_details,Enter local bank details,Enter local bank details,Enter local bank details
inapp_checkout.payment_method.bank_account.btn.enter_your_name,Enter your name,Enter your name,Enter your name
inapp_checkout.payment_method.bank_account.btn.enter_company_name,Enter company name,Enter company name,Enter company name
inapp_checkout.card.billing_address,Use my billing address as card address,Use my billing address as card address,Use my billing address as card address
inapp_checkout.card.shipping_address,Use my shipping address as card address,Use my shipping address as card address,Use my shipping address as card address
inapp_checkout.item.breakdown.show,See Details,See Details,See Details
inapp_checkout.item.breakdown.hide,Hide Details,Hide Details,Hide Details
inapp_checkout.cart.trial.info,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.
inapp_checkout.cart.note.plan.trial,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.
inapp_checkout.review.note.plan.trial,,,
inapp_checkout.payment_method.note.plan.trial,,,
inapp_checkout.cart.note.plan.no_trial,,,
inapp_checkout.review.note.plan.no_trial,,,
inapp_checkout.payment_method.note.plan.no_trial,,,
inapp_checkout.customer.note,,,
inapp_checkout.subscription.note,,,
inapp_checkout.shipping_address.note,,,
inapp_checkout.billing_address.note,,,
inapp_checkout.cart.pay_now.label,Pay now,Pay now,Pay now
inapp_checkout.cart.next_charge.label,Next charge on %{date},Next charge on %{date},Next charge on %{date}
inapp_checkout.order_summary.charge_now.label,Chargeable now,Chargeable now,Chargeable now
inapp_checkout.order_summary.next_charge.label,Charges on %{date},Charges on %{date},Charges on %{date}
inapp_checkout.order.edit.link,Edit order,Edit order,Edit order
inapp_checkout.estimate_display_screen.header,Your order summary,Your order summary,Your order summary
inapp_checkout.credits_applied.label,Credits applied,Credits applied,Credits applied
inapp_checkout.non_rec_addon.tag,ONE-TIME,ONE-TIME,ONE-TIME
inapp_checkout.coupon.description,%{amount} coupon applied,%{amount} coupon applied,%{amount} coupon applied
inapp_checkout.discount.description,%{amount} discount applied,%{amount} discount applied,%{amount} discount applied
inapp_checkout.free_quantity.description,%{units} units free,%{units} units free,%{units} units free
inapp_checkout.referral.title,Refer your friends,Refer your friends,Refer your friends
inapp_checkout.referral.cb_reward,Refer your friends and we will give you %{referral_credits} when they purchase their first subscription.,Refer your friends and we will give you %{referral_credits} when they purchase their first subscription.,Refer your friends and we will give you %{referral_credits} when they purchase their first subscription.
inapp_checkout.referral.custom_reward,Refer your friends and we will reward you when they purchase their first subscription.,Refer your friends and we will reward you when they purchase their first subscription.,Refer your friends and we will reward you when they purchase their first subscription.
inapp_checkout.referral.friend_discount,Your friend will get %{referral_friend_discount} discount.,Your friend will get %{referral_friend_discount} discount.,Your friend will get %{referral_friend_discount} discount.
inapp_checkout.referral.link_label,Your referral link,Your referral link,Your referral link
inapp_checkout.review.threedsWarning.non_trial,You may be redirected to your bank page for 3D secure verification.,You may be redirected to your bank page for 3D secure verification.,You may be redirected to your bank page for 3D secure verification.
inapp_checkout.review.threedsWarning.trial,"You may be redirected to your bank page for 3D secure verification for which a token amount may be charged,which will be fully refunded automatically.","You may be redirected to your bank page for 3D secure verification for which a token amount may be charged,which will be fully refunded automatically.","You may be redirected to your bank page for 3D secure verification for which a token amount may be charged,which will be fully refunded automatically."
inapp_checkout.3ds.auth.txt,I authorize %{organisation_name} to save this payment method and automatically charge this payment method whenever a subscription is associated with it.,I authorize %{organisation_name} to save this payment method and automatically charge this payment method whenever a subscription is associated with it.,I authorize %{organisation_name} to save this payment method and automatically charge this payment method whenever a subscription is associated with it.
inapp_checkout.otp_email.subject,Your One Time Password (OTP),Your One Time Password (OTP),Your One Time Password (OTP)
inapp_checkout.otp_email.salutation,"Hi there,","Hi there,","Hi there,"
inapp_checkout.otp_email.otp_line,%{otp} is your one time password,%{otp} is your one time password,%{otp} is your one time password
inapp_checkout.otp_email.desc,The one time password is valid for 5 minutes from the time it is generated.,The one time password is valid for 5 minutes from the time it is generated.,The one time password is valid for 5 minutes from the time it is generated.
inapp_checkout.otp_sms.body,%{otp} is your one time password. The one time password is valid for 5 minutes from the time it is generated.,%{otp} is your one time password. The one time password is valid for 5 minutes from the time it is generated.,%{otp} is your one time password. The one time password is valid for 5 minutes from the time it is generated.
inapp_checkout.multi_decimal.quantity.error,Enter valid quantity,Enter valid quantity,Enter valid quantity
inapp_checkout.qty,Qty,Qty,Qty
inapp_checkout.review.opm.cash.desc,You can make the payment by cash,You can make the payment by cash,You can make the payment by cash
inapp_checkout.review.opm.check.desc,You can find the payment transfer details as part of the invoice,You can find the payment transfer details as part of the invoice,You can find the payment transfer details as part of the invoice
inapp_checkout.review.opm.bank_transfer.desc,You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice
inapp_checkout.review.opm.ach_credit.desc,You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice
inapp_checkout.review.opm.sepa_credit.desc,You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice
inapp_checkout.pm.consent.txt,I authorize %{organisation_name} to save this payment method and automatically charge this payment method for any future transactions associated with it.,I authorize %{organisation_name} to save this payment method and automatically charge this payment method for any future transactions associated with it.,I authorize %{organisation_name} to save this payment method and automatically charge this payment method for any future transactions associated with it.
inapp_checkout.pm.netbanking.auth_info.note,You will be redirected to your bank’s netbanking page for authentication.,You will be redirected to your bank’s netbanking page for authentication.,You will be redirected to your bank’s netbanking page for authentication.
inapp_checkout.pm.online_banking.auth_info.note,You will be redirected to your bank’s netbanking page for authenticating a <b>one-time payment.</b> The next payment for this subscription’s will not be paid automatically.,You will be redirected to your bank’s netbanking page for authenticating a <b>one-time payment.</b> The next payment for this subscription’s will not be paid automatically.,You will be redirected to your bank’s netbanking page for authenticating a <b>one-time payment.</b> The next payment for this subscription’s will not be paid automatically.
inapp_checkout.pm.never.save.txt,Your payment information will not be saved in our system.,Your payment information will not be saved in our system.,Your payment information will not be saved in our system.
inapp_checkout.pm.rbi.card.mandate.note,Cards issued in India can be charged up to maximum mandate amount for recurring subscription payments until the mandate is valid. Payments above maximum mandate amount require OTP verification.,Cards issued in India can be charged up to maximum mandate amount for recurring subscription payments until the mandate is valid. Payments above maximum mandate amount require OTP verification.,Cards issued in India can be charged up to maximum mandate amount for recurring subscription payments until the mandate is valid. Payments above maximum mandate amount require OTP verification.
inapp_checkout.pm.rbi.upi.mandate.note,You can be charged up to maximum mandate amount for recurring subscription payments until the mandate is valid.,You can be charged up to maximum mandate amount for recurring subscription payments until the mandate is valid.,You can be charged up to maximum mandate amount for recurring subscription payments until the mandate is valid.
inapp_checkout.pm.rbi.netbanking.mandate.note,You can be charged up to maximum mandate amount for recurring subscription payments until the mandate is valid.,You can be charged up to maximum mandate amount for recurring subscription payments until the mandate is valid.,You can be charged up to maximum mandate amount for recurring subscription payments until the mandate is valid.
inapp_portal.recommended.addon.tag,RECOMMENDED,RECOMMENDED,RECOMMENDED
inapp_portal.home.header,Manage Subscriptions,Manage Subscriptions,Manage Subscriptions
inapp_portal.locale.label,Locale,Locale,Locale
inapp_portal.home.footer,Questions? Our Support Team would be glad to help,Questions? Our Support Team would be glad to help,Questions? Our Support Team would be glad to help
inapp_portal.home.account.link_text,Account Information,Account Information,Account Information
inapp_portal.home.address.link_text,Billing &amp; Shipping Addresses,Billing & Shipping Addresses,Billing & Shipping Addresses
inapp_portal.home.payment_methods.link_text,Payment Methods,Payment Methods,Payment Methods
inapp_portal.home.billing_history.link_text,Billing History,Billing History,Billing History
inapp_portal.back,Back,Back,Back
inapp_portal.subscription.header,Subscription Details,Subscription Details,Subscription Details
inapp_portal.subscription.header.edit,Edit Subscription Details,Edit Subscription Details,Edit Subscription Details
inapp_portal.subscription.header.review,Review subscription changes,Review subscription changes,Review subscription changes
inapp_portal.account.header,Account Details,Account Details,Account Details
inapp_portal.account.edit.txt,Editing account details,Editing account details,Editing account details
inapp_portal.account.header.edit,Update your account details,Update your account details,Update your account details
inapp_portal.account.header.edit.submit,Update,Update,Update
inapp_portal.address.header,Billing &amp; Shipping Addresses,Billing & Shipping Addresses,Billing & Shipping Addresses
inapp_portal.address.billing.txt,Billing,Billing,Billing
inapp_portal.address.billing.edit.txt,Editing billing details,Editing billing details,Editing billing details
inapp_portal.address.billing.add.txt,Add your billing details,Add your billing details,Add your billing details
inapp_portal.address.shipping.txt,Shipping,Shipping,Shipping
inapp_portal.address.shipping.edit.txt,Editing shipping details,Editing shipping details,Editing shipping details
inapp_portal.address.billing.header.edit,Update your billing details,Update your billing details,Update your billing details
inapp_portal.address.billing.header.edit.submit,Update,Update,Update
inapp_portal.address.shipping.header.edit,Update your shipping details,Update your shipping details,Update your shipping details
inapp_portal.address.shipping.header.edit.submit,Update,Update,Update
inapp_portal.payment_method.header,Payment Methods,Payment Methods,Payment Methods
inapp_portal.payment_method.link.add,Add New,Add New,Add New
inapp_portal.payment_method.link.add_new,Add a payment method,Add a payment method,Add a payment method
inapp_portal.payment_method.header.add,Add a payment method,Add a payment method,Add a payment method
inapp_portal.payment_method.header.select,Select a payment method,Select a payment method,Select a payment method
inapp_portal.payment_method.footer.choose,Choose a different payment method,Choose a different payment method,Choose a different payment method
inapp_portal.payment_method.header.add.submit,Add,Add,Add
inapp_portal.payment_method.header.edit,Update your payment method,Update your payment method,Update your payment method
inapp_portal.payment_method.header.edit.submit,Update,Update,Update
inapp_portal.payment_method.header.verify,Verify payment method,Verify payment method,Verify payment method
inapp_portal.payment_method.header.verify.submit,Verify,Verify,Verify
inapp_portal.billing_history.header,Billing history,Billing history,Billing history
inapp_portal.billing_history.download,Download,Download,Download
inapp_portal.billing_history.none,No invoices to display,No invoices to display,No invoices to display
inapp_portal.subscription.header.edit.submit,Review,Review,Review
inapp_portal.subscription.header.review.submit,Update Subscription,Update Subscription,Update Subscription
inapp_portal.subscription.header.choose_pm,Choose your payment method for this subscription,Choose your payment method for this subscription,Choose your payment method for this subscription
inapp_portal.subscription.update_sub_pm,Update,Update,Update
inapp_portal.subscription.cancel.link.txt,Cancel Subscription,Cancel Subscription,Cancel Subscription
inapp_portal.subscription.next.renewing_estimate.now,You will be charged %{amount} for prorated charges via,You will be charged %{amount} for prorated charges via,You will be charged %{amount} for prorated charges via
inapp_portal.subscription.next.renewing_estimate.eot.non_recurring,You will be charged %{amount} via,You will be charged %{amount} via,You will be charged %{amount} via
inapp_portal.subscription.next.renewing_estimate.eot,You will be charged %{amount} every %{billing_period} via,You will be charged %{amount} every %{billing_period} via,You will be charged %{amount} every %{billing_period} via
inapp_portal.subscription.next.renewing_estimate.eot.with_date,Your next charge %{amount} will be on %{date} via,Your next charge %{amount} will be on %{date} via,Your next charge %{amount} will be on %{date} via
inapp_portal.subscription.next.credits_created.now,You will not be charged for this change and %{amount} will be added as refundable credits,You will not be charged for this change and %{amount} will be added as refundable credits,You will not be charged for this change and %{amount} will be added as refundable credits
inapp_portal.subscription.details.trial.info,"You have %{remaining_trial_period} of trial left. After your trial expires, you’ll be moved to the %{plan_name} plan","You have %{remaining_trial_period} of trial left. After your trial expires, you’ll be moved to the %{plan_name} plan","You have %{remaining_trial_period} of trial left. After your trial expires, you’ll be moved to the %{plan_name} plan"
inapp_portal.subscription.details.cancellation_scheduled.info,Your subscription will be canceled on %{date},Your subscription will be canceled on %{date},Your subscription will be canceled on %{date}
inapp_portal.subscription.next.renewing_estimate.now_zero,%{amount} charged from available credits.,%{amount} charged from available credits.,%{amount} charged from available credits.
inapp_portal.subscription.details.trial.info_today,You trial will end today and you’ll be moved to the %{plan_name} plan,You trial will end today and you’ll be moved to the %{plan_name} plan,You trial will end today and you’ll be moved to the %{plan_name} plan
inapp_portal.subscription.details.active.info,,,
inapp_portal.subscription.details.non_renewing.info,Your subscription will end on %{date},Your subscription will end on %{date},Your subscription will end on %{date}
inapp_portal.subscription.details.cancelled.info,CANCELED. Your subscription has been canceled. Contact us to reactivate your subscription,CANCELED. Your subscription has been canceled. Contact us to reactivate your subscription,CANCELED. Your subscription has been canceled. Contact us to reactivate your subscription
inapp_portal.subscription.details.paused.info,Your subscription is currently paused.,Your subscription is currently paused.,Your subscription is currently paused.
inapp_portal.subscription.details.future.info,Your subscription will start on %{date},Your subscription will start on %{date},Your subscription will start on %{date}
inapp_portal.subscription.edit.txt,Edit Subscription,Edit Subscription,Edit Subscription
inapp_portal.choose_change_subscription.header,Change subscription,Change subscription,Change subscription
inapp_portal.subscription.edit.chooser_question,When do you want to change the subscription?,When do you want to change the subscription?,When do you want to change the subscription?
inapp_portal.subscription.change.immediately.option,Change immediately,Change immediately,Change immediately
inapp_portal.subscription.change.eot.option,Change on next renewal(%{date}),Change on next renewal(%{date}),Change on next renewal(%{date})
inapp_portal.subscription.change.specific_date.option,Change on a specific date,Change on a specific date,Change on a specific date
inapp_portal.subscription.change.option.submit,Change subscription,Change subscription,Change subscription
inapp_portal.subscription.change.options.proceed,proceed,proceed,proceed
inapp_portal.subscription.cancel.specific_date.option,Cancel on a specific date,Cancel on a specific date,Cancel on a specific date
inapp_portal.remove_scheduled_changes.txt,Remove scheduled changes,Remove scheduled changes,Remove scheduled changes
inapp_portal.subscription.remove_scheduled_cancellation.link_txt,Remove scheduled cancellation,Remove scheduled cancellation,Remove scheduled cancellation
inapp_portal.remove_scheduled_changes.info,These changes will be applied to your subscription from next renewal( %{date} ),These changes will be applied to your subscription from next renewal( %{date} ),These changes will be applied to your subscription from next renewal( %{date} )
inapp_portal.payment_method.header.view,Payment Method Details,Payment Method Details,Payment Method Details
inapp_portal.payment_method.view.remove,Remove Payment Method,Remove Payment Method,Remove Payment Method
inapp_portal.payment_method.view.edit,Edit Payment Method,Edit Payment Method,Edit Payment Method
inapp_portal.payment_method.view.remove_prompt,Are you sure you want to remove this payment method?,Are you sure you want to remove this payment method?,Are you sure you want to remove this payment method?
inapp_portal.subscription_cf.header.edit,Update your subscription details,Update your subscription details,Update your subscription details
inapp_portal.subscription_cf.header.edit.submit,Update,Update,Update
inapp_portal.discounts_applied.label,,,
inapp_portal.items_in_total.custom_label,,,
inapp_portal.more_items_txt.custom_label,,,
inapp_portal.home.gift_sub.gifted_by,Recieved from %{name},Recieved from %{name},Recieved from %{name}
inapp_portal.sub_details.gift.gifted_by,Gifted by %{name},Gifted by %{name},Gifted by %{name}
inapp_portal.subscription.cancel.header,Cancel Subscription,Cancel Subscription,Cancel Subscription
inapp_portal.subscription.cancel.header.submit,Confirm Cancellation,Confirm Cancellation,Confirm Cancellation
inapp_portal.subscription.cancel.when,When do you want to cancel the subscription?,When do you want to cancel the subscription?,When do you want to cancel the subscription?
inapp_portal.subscription.cancel.eot.option,Cancel on next renewal  (%{date}),Cancel on next renewal  (%{date}),Cancel on next renewal  (%{date})
inapp_portal.subscription.cancel.immediately.option,Cancel Immediately,Cancel Immediately,Cancel Immediately
inapp_portal.subscription.cancel.immediately.info,Your subscription will be canceled immediately,Your subscription will be canceled immediately,Your subscription will be canceled immediately
inapp_portal.subscription.cancel.eot.info,Your subscription will be canceled on %{date},Your subscription will be canceled on %{date},Your subscription will be canceled on %{date}
inapp_portal.subscription.cancel.reason,Reason for cancellation,Reason for cancellation,Reason for cancellation
inapp_portal.subscription.cancel.feedback,Is there anything else you would like to let us know?,Is there anything else you would like to let us know?,Is there anything else you would like to let us know?
inapp_portal.subscription.cancel.reason.option,Select a cancellation reason,Select a cancellation reason,Select a cancellation reason
inapp_portal.subscription.canceled.reason_code.info,Your subscription was canceled with the reason &#39;%{reason}&#39;,Your subscription was canceled with the reason '%{reason}',Your subscription was canceled with the reason '%{reason}'
inapp_portal.subscription.sch_cancel.reason_code.info,Your subscription will be canceled with the reason &#39;%{reason}&#39;,Your subscription will be canceled with the reason '%{reason}',Your subscription will be canceled with the reason '%{reason}'
inapp_portal.scheduled_changes.header,View scheduled changes,View scheduled changes,View scheduled changes
inapp_portal.scheduled_changes_navigation.header,Changes from next renewal,Changes from next renewal,Changes from next renewal
inapp_portal.subscription_preview_navigation.header,Subscription Details,Subscription Details,Subscription Details
inapp_portal.consent.header,Permissions,Permissions,Permissions
inapp_portal.consent_section.name,Permissions,Permissions,Permissions
inapp_portal.consent.revoke_alert,Are you sure?,Are you sure?,Are you sure?
inapp_portal.consent.submit,Update,Update,Update
inapp_portal.remove_scheduled_pause.confirm_txt,The scheduled pause for your subscription will be removed. Continue?,The scheduled pause for your subscription will be removed. Continue?,The scheduled pause for your subscription will be removed. Continue?
inapp_portal.resume_subscription_now.confirm_txt,Your subscription will resume immediately. Continue?,Your subscription will resume immediately. Continue?,Your subscription will resume immediately. Continue?
inapp_portal.resume_now.link,Resume now,Resume now,Resume now
inapp_portal.remove_scheduled_pause.link,Remove Scheduled Pause,Remove Scheduled Pause,Remove Scheduled Pause
inapp_portal.subscription.details.pause_scheduled.info,Your subscription will be paused on %{date},Your subscription will be paused on %{date},Your subscription will be paused on %{date}
inapp_portal.subscription.details.resume_scheduled.info,Your subscription will resume on %{date},Your subscription will resume on %{date},Your subscription will resume on %{date}
inapp_portal.subscription.pause.link.txt,Pause Subscription,Pause Subscription,Pause Subscription
inapp_portal.subscription.pause.header,Pause Subscription,Pause Subscription,Pause Subscription
inapp_portal.subscription.pause.submit,Pause Subscription,Pause Subscription,Pause Subscription
inapp_portal.subscription.pause.immediate_indefinite.info,Your subscription will be paused immediately. You can resume your subscription anytime from the Subscription Details Page,Your subscription will be paused immediately. You can resume your subscription anytime from the Subscription Details Page,Your subscription will be paused immediately. You can resume your subscription anytime from the Subscription Details Page
inapp_portal.subscription.pause.immediate_fixed_time.info,"Your subscription will be paused immediately, and will resume after %{pause_period_set} days.","Your subscription will be paused immediately, and will resume after %{pause_period_set} days.","Your subscription will be paused immediately, and will resume after %{pause_period_set} days."
inapp_portal.subscription.pause.immediate_options.info,Your subscription will be paused immediately.,Your subscription will be paused immediately.,Your subscription will be paused immediately.
inapp_portal.subscription.pause.immediate_indefinite.gen,"On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew."
inapp_portal.subscription.pause.immediate_fixed_time.gen,"On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew."
inapp_portal.subscription.pause.immediate_options.gen,"On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew."
inapp_portal.subscription.pause.eot_indefinite.info,Your subscription will be paused on %{date}.,Your subscription will be paused on %{date}.,Your subscription will be paused on %{date}.
inapp_portal.subscription.pause.eot_fixed_time.info,"Your subscription will be paused on %{date} , and will resume after %{pause_period_set} days.","Your subscription will be paused on %{date} , and will resume after %{pause_period_set} days.","Your subscription will be paused on %{date} , and will resume after %{pause_period_set} days."
inapp_portal.subscription.pause.eot_options.info,Your subscription will be paused on %{date}.,Your subscription will be paused on %{date}.,Your subscription will be paused on %{date}.
inapp_portal.subscription.pause.eot_indefinite.gen,"On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew."
inapp_portal.subscription.pause.eot_fixed_time.gen,"On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew."
inapp_portal.subscription.pause.eot_options.gen,"On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew.","On pausing, your subscription will not be billed, and will not renew."
inapp_portal.subscription.pause.chooser_question,How long do you want to pause the subscription?,How long do you want to pause the subscription?,How long do you want to pause the subscription?
inapp_portal.subscription.pause.custom_date,Custom date,Custom date,Custom date
inapp_portal.subscription.pause.choose_specific_date,(Choose a specific date),(Choose a specific date),(Choose a specific date)
inapp_portal.subscription.pause.pause_until,Pause until,Pause until,Pause until
inapp_portal.payment_method_tag.primary,Primary,Primary,Primary
inapp_portal.payment_method_tag.backup,Backup,Backup,Backup
inapp_portal.payment_method.suggest_backup,Backups come handy when your primary payment fails. Set a backup.,Backups come handy when your primary payment fails. Set a backup.,Backups come handy when your primary payment fails. Set a backup.
inapp_portal.card.expiring,Expires on %{card_expiry},Expires on %{card_expiry},Expires on %{card_expiry}
inapp_portal.card.expired,Expired on %{card_expiry},Expired on %{card_expiry},Expired on %{card_expiry}
inapp_portal.pm.set_role.link,Set this as primary or backup,Set this as primary or backup,Set this as primary or backup
inapp_portal.pm.set_role.title,Set this payment method as,Set this payment method as,Set this payment method as
inapp_portal.pm.set_role.header,Payment Method Settings,Payment Method Settings,Payment Method Settings
inapp_portal.pm.set_role.update_btn,Update,Update,Update
inapp_portal.pm.set_role.skip_btn,Skip,Skip,Skip
inapp_portal.pm.remove_backup.link,Remove as backup,Remove as backup,Remove as backup
inapp_portal.pm.remove_backup.message,Remove backup? Backups come handy when your primary payment method fails.,Remove backup? Backups come handy when your primary payment method fails.,Remove backup? Backups come handy when your primary payment method fails.
inapp_portal.pm.remove_backup.confirm,Remove,Remove,Remove
inapp_portal.pm.set_primary.message,Set this as primary? This will replace your current primary payment method,Set this as primary? This will replace your current primary payment method,Set this as primary? This will replace your current primary payment method
inapp_portal.pm.set_primary.confirm,Confirm,Confirm,Confirm
inapp_portal.pm.set_primary.link,Set as primary,Set as primary,Set as primary
inapp_portal.pm.primary.desc.txt,This is your primary payment method,This is your primary payment method,This is your primary payment method
inapp_portal.pm.backup.desc.txt,This is your backup payment method,This is your backup payment method,This is your backup payment method
inapp_portal.pm.primary.warning.txt,This will replace your current primary payment method,This will replace your current primary payment method,This will replace your current primary payment method
inapp_portal.pm.backup.warning.txt,This will replace your current backup payment method,This will replace your current backup payment method,This will replace your current backup payment method
inapp_portal.pm.primary.info.txt,This will be charged for all your automatic payments.,This will be charged for all your automatic payments.,This will be charged for all your automatic payments.
inapp_portal.pm.backup.info.txt,This will be the backup when your primary payment method fails.,This will be the backup when your primary payment method fails.,This will be the backup when your primary payment method fails.
inapp_portal.pm.primary.desc.detail,This will be charged for all your automatic payments.,This will be charged for all your automatic payments.,This will be charged for all your automatic payments.
